fips,stname,ctyname,state,county,year,tot_pop
01001,Alabama,Autauga County,01,001,2000,44021
01001,Alabama,Autauga County,01,001,2001,44889
01001,Alabama,Autauga County,01,001,2002,45909
01001,Alabama,Autauga County,01,001,2003,46800
01001,Alabama,Autauga County,01,001,2004,48366
01001,Alabama,Autauga County,01,001,2005,49676
01001,Alabama,Autauga County,01,001,2006,51328
01001,Alabama,Autauga County,01,001,2007,52405
01001,Alabama,Autauga County,01,001,2008,53277
01001,Alabama,Autauga County,01,001,2009,54135
01001,Alabama,Autauga County,01,001,2010,54632
01003,Alabama,Baldwin County,01,003,2000,141342
01003,Alabama,Baldwin County,01,003,2001,144875
01003,Alabama,Baldwin County,01,003,2002,147957
01003,Alabama,Baldwin County,01,003,2003,151509
01003,Alabama,Baldwin County,01,003,2004,156266
01003,Alabama,Baldwin County,01,003,2005,162183
01003,Alabama,Baldwin County,01,003,2006,168121
01003,Alabama,Baldwin County,01,003,2007,172404
01003,Alabama,Baldwin County,01,003,2008,175827
01003,Alabama,Baldwin County,01,003,2009,179406
01003,Alabama,Baldwin County,01,003,2010,183195
01005,Alabama,Barbour County,01,005,2000,29015
01005,Alabama,Barbour County,01,005,2001,28863
01005,Alabama,Barbour County,01,005,2002,28653
01005,Alabama,Barbour County,01,005,2003,28594
01005,Alabama,Barbour County,01,005,2004,28287
01005,Alabama,Barbour County,01,005,2005,28027
01005,Alabama,Barbour County,01,005,2006,27861
01005,Alabama,Barbour County,01,005,2007,27757
01005,Alabama,Barbour County,01,005,2008,27808
01005,Alabama,Barbour County,01,005,2009,27657
01005,Alabama,Barbour County,01,005,2010,27411
01007,Alabama,Bibb County,01,007,2000,19913
01007,Alabama,Bibb County,01,007,2001,21028
01007,Alabama,Bibb County,01,007,2002,21199
01007,Alabama,Bibb County,01,007,2003,21399
01007,Alabama,Bibb County,01,007,2004,21721
01007,Alabama,Bibb County,01,007,2005,22042
01007,Alabama,Bibb County,01,007,2006,22099
01007,Alabama,Bibb County,01,007,2007,22438
01007,Alabama,Bibb County,01,007,2008,22705
01007,Alabama,Bibb County,01,007,2009,22941
01007,Alabama,Bibb County,01,007,2010,22867
01009,Alabama,Blount County,01,009,2000,51107
01009,Alabama,Blount County,01,009,2001,51845
01009,Alabama,Blount County,01,009,2002,52551
01009,Alabama,Blount County,01,009,2003,53457
01009,Alabama,Blount County,01,009,2004,54124
01009,Alabama,Blount County,01,009,2005,54624
01009,Alabama,Blount County,01,009,2006,55485
01009,Alabama,Blount County,01,009,2007,56240
01009,Alabama,Blount County,01,009,2008,57055
01009,Alabama,Blount County,01,009,2009,57341
01009,Alabama,Blount County,01,009,2010,57338
01011,Alabama,Bullock County,01,011,2000,11581
01011,Alabama,Bullock County,01,011,2001,11358
01011,Alabama,Bullock County,01,011,2002,11256
01011,Alabama,Bullock County,01,011,2003,11316
01011,Alabama,Bullock County,01,011,2004,11056
01011,Alabama,Bullock County,01,011,2005,11011
01011,Alabama,Bullock County,01,011,2006,10776
01011,Alabama,Bullock County,01,011,2007,11011
01011,Alabama,Bullock County,01,011,2008,10953
01011,Alabama,Bullock County,01,011,2009,10987
01011,Alabama,Bullock County,01,011,2010,10890
01013,Alabama,Butler County,01,013,2000,21325
01013,Alabama,Butler County,01,013,2001,21139
01013,Alabama,Butler County,01,013,2002,20803
01013,Alabama,Butler County,01,013,2003,20833
01013,Alabama,Butler County,01,013,2004,20870
01013,Alabama,Butler County,01,013,2005,20830
01013,Alabama,Butler County,01,013,2006,20815
01013,Alabama,Butler County,01,013,2007,20894
01013,Alabama,Butler County,01,013,2008,20949
01013,Alabama,Butler County,01,013,2009,20867
01013,Alabama,Butler County,01,013,2010,20951
01015,Alabama,Calhoun County,01,015,2000,111081
01015,Alabama,Calhoun County,01,015,2001,111266
01015,Alabama,Calhoun County,01,015,2002,111625
01015,Alabama,Calhoun County,01,015,2003,112705
01015,Alabama,Calhoun County,01,015,2004,113462
01015,Alabama,Calhoun County,01,015,2005,114477
01015,Alabama,Calhoun County,01,015,2006,115388
01015,Alabama,Calhoun County,01,015,2007,116211
01015,Alabama,Calhoun County,01,015,2008,117274
01015,Alabama,Calhoun County,01,015,2009,118363
01015,Alabama,Calhoun County,01,015,2010,118510
01017,Alabama,Chambers County,01,017,2000,36571
01017,Alabama,Chambers County,01,017,2001,36274
01017,Alabama,Chambers County,01,017,2002,35965
01017,Alabama,Chambers County,01,017,2003,35680
01017,Alabama,Chambers County,01,017,2004,35463
01017,Alabama,Chambers County,01,017,2005,35279
01017,Alabama,Chambers County,01,017,2006,34945
01017,Alabama,Chambers County,01,017,2007,34847
01017,Alabama,Chambers County,01,017,2008,34563
01017,Alabama,Chambers County,01,017,2009,34384
01017,Alabama,Chambers County,01,017,2010,34157
01019,Alabama,Cherokee County,01,019,2000,24006
01019,Alabama,Cherokee County,01,019,2001,24182
01019,Alabama,Cherokee County,01,019,2002,24403
01019,Alabama,Cherokee County,01,019,2003,24591
01019,Alabama,Cherokee County,01,019,2004,24887
01019,Alabama,Cherokee County,01,019,2005,25031
01019,Alabama,Cherokee County,01,019,2006,25466
01019,Alabama,Cherokee County,01,019,2007,25553
01019,Alabama,Cherokee County,01,019,2008,25636
01019,Alabama,Cherokee County,01,019,2009,25854
01019,Alabama,Cherokee County,01,019,2010,25991
01021,Alabama,Chilton County,01,021,2000,39897
01021,Alabama,Chilton County,01,021,2001,40197
01021,Alabama,Chilton County,01,021,2002,40683
01021,Alabama,Chilton County,01,021,2003,41079
01021,Alabama,Chilton County,01,021,2004,41534
01021,Alabama,Chilton County,01,021,2005,41946
01021,Alabama,Chilton County,01,021,2006,42318
01021,Alabama,Chilton County,01,021,2007,42881
01021,Alabama,Chilton County,01,021,2008,43239
01021,Alabama,Chilton County,01,021,2009,43484
01021,Alabama,Chilton County,01,021,2010,43682
01023,Alabama,Choctaw County,01,023,2000,15875
01023,Alabama,Choctaw County,01,023,2001,15677
01023,Alabama,Choctaw County,01,023,2002,15367
01023,Alabama,Choctaw County,01,023,2003,15199
01023,Alabama,Choctaw County,01,023,2004,14930
01023,Alabama,Choctaw County,01,023,2005,14545
01023,Alabama,Choctaw County,01,023,2006,14431
01023,Alabama,Choctaw County,01,023,2007,14216
01023,Alabama,Choctaw County,01,023,2008,14114
01023,Alabama,Choctaw County,01,023,2009,13976
01023,Alabama,Choctaw County,01,023,2010,13820
01025,Alabama,Clarke County,01,025,2000,27819
01025,Alabama,Clarke County,01,025,2001,27624
01025,Alabama,Clarke County,01,025,2002,27267
01025,Alabama,Clarke County,01,025,2003,27090
01025,Alabama,Clarke County,01,025,2004,26958
01025,Alabama,Clarke County,01,025,2005,26764
01025,Alabama,Clarke County,01,025,2006,26755
01025,Alabama,Clarke County,01,025,2007,26436
01025,Alabama,Clarke County,01,025,2008,26283
01025,Alabama,Clarke County,01,025,2009,26038
01025,Alabama,Clarke County,01,025,2010,25763
01027,Alabama,Clay County,01,027,2000,14263
01027,Alabama,Clay County,01,027,2001,14298
01027,Alabama,Clay County,01,027,2002,14257
01027,Alabama,Clay County,01,027,2003,14203
01027,Alabama,Clay County,01,027,2004,14121
01027,Alabama,Clay County,01,027,2005,14077
01027,Alabama,Clay County,01,027,2006,14053
01027,Alabama,Clay County,01,027,2007,14085
